Variables,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9
"Extremity of alliance
announcements",,,,,,"0.06
( 0.06 )","0.05
( 0.06 )",,"0.04
( 0.06 )"
"X Firm diversification
Log likelihood",-2832,-2825,-2817,- 2822,-2819,-2823,-2816,-2816,-2812
