,Variable,Mean,SD,1,2,3,4,5,6,7,8
1,Workplace interpersonal capitalization,5.32,1.17,,,,,,,,
2,Competition,1.74,0.95,-.06,,,,,,,
3,Inspiration,5.50,1.04,.12 *,-.25 **,,,,,,
4,Envy,2.31,1.24,-.05,.43 **,-.06,,,,,
5,ICB,5.97,0.84,.21 **,-.14 *,.52 **,-.15 **,,,,
6,Social undermining,1.30,0.55,.03,.43 **,-.30 **,.38 **,-.27 **,,,
7,Social comparison orientation,4.07,1.44,-.02,.25 **,-.09,.32 **,-.03,.15 **,,
8,Perceived extraversion,3.91,0.81,.08,-.01,.16 **,.06,.17 **,-.09,.05,
9,Coworker positive events,2.99,0.86,.17 **,-.08,.33 **,-.03,.27 **,-.05,.01,.06
