,Variable,Mean,SDw,SDb,1,2,3,4,5,6,7
1,Workplace interpersonal capitalizationª,0.49,0.50,0.23,,.37 **,.15 **,.04,-.01,,
2,Inspiration,2.33,0.12,0.78,.37 **,,.08 *,.19 **,-.08,,
3,Envy,1.45,0.69,0.46,-.10,-.10,,-.08 *,.27 **,,
4,ICB,4.65,1.64,1.16,.22 *,.38 **,.04,,-.01,,
5,Social undermining,1.21,0.57,0.35,-.15,-.23 *,.39 **,-.16,,,
6,Competition,2.20,-,1.51,-.11,-.04,.40 **,-.20,.16,,
7,Social comparison orientation,4.47,-,1.43,-.15,.09,.40 **,.12,.14,.29 **,
8,Coworker positive events,3.26,-,0.95,.07,.25 *,-.17,.05,-.18,.03,-.14
