Variable,Mean,SD,1,2,3,4,5,6
1. Leniency ( Manipulated ),0.51,0.50,-,,,,,
2. Lenient Response,2.15,1.04,.24 **,( .85 ),,,,
3. Pride,3.07,1.18,-.02,.15 *,( .97 ),,,
4. Guilt,1.53,0.96,.15,.30 **,-.08,( .94 ),,
5. Engagement,3.90,0.80,-.04,.04,.50 **,-.12,( .72 ),
6. Exhaustion,2.00,1.01,.06,.29 **,-.29 **,.59 **,-.28 **,( .95 )
